Nombre;Latitud;Longitud
CANADÁ;56.130366;-106.346771
ESPAÑA;40.463667;-3.74922
ESTADOS UNIDOS;37.09024;-95.712891
FRANCIA;46.227638;2.213749
NUEVA ZELANDA;-40.900557;174.885971
REINO UNIDO;55.378051;-3.435973
SUECIA;60.128161;18.643501
