Posicion;Largometraje;Nacionalidad;Distribuidora;Recaudación;Año;RelPib;Puntuacion;TasteInd
4;STAR WARS EPISODIO II. EL ATAQUE DE LOS CLONES;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;16789644,19;2002;9,28;6,4;3,81
5;SAGA CREPUSCULO: LUNA NUEVA, LA;ESTADOS UNIDOS;AURUM PRODUCCIONES S.A.;18810154,35;2009;8,07;5,6;3,71
5;COMO DIOS;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;17276858,57;2003;9,09;6,4;3,71
5;INTOCABLE de Eric Toledano y Olivier Nakache;FRANCIA;A CONTRACORRIENTE FILMS S.L.;16499548,07;2012;7,31;5,4;3,67
2;PIRATAS DEL CARIBE. EN MAREAS MISTERIOSAS;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;18950126,51;2011;8,28;6,4;3,6
4;ULTIMO SAMURAI, EL;ESTADOS UNIDOS;WARNER SOGEFILMS A.I.E.;18652300,26;2004;9,28;7,3;3,43
1;TORRENTE 4;ESPAÑA;WARNER BROS ENTERTAINMENT ESPAÑA S.L.;19345503,32;2011;8,45;5,6;3,37
3;ICE AGE 2. EL DESHIELO;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;19307960,91;2006;8,51;6,5;3,33
1;STAR WARS EPISODIO III. LA VENGANZA DE LOS SITH;ESTADOS UNIDOS;HISPANO FOXFILM S.A.E;18788480,0516;2005;8,82;7,1;3,18
6;MATRIX RELOADED;ESTADOS UNIDOS;WARNER SOGEFILMS A.I.E.;16627931,48;2003;8,75;6,7;3,18
2;HARRY POTTER Y EL CALIZ DE FUEGO;REINO UNIDO;WARNER SOGEFILMS A.I.E.;18502764,2999;2005;8,69;7,5;3,11
3;AVENTURAS DE TADEO JONES, LAS;ESPAÑA;PARAMOUNT SPAIN, S.L.;18016633,93;2012;7,99;5,6;2,99
3;TORRENTE 3,  El Protector;ESPAÑA;UNITED INTERNATIONAL PICTURES S.L.;18157984,0733;2005;8,52;5,5;2,97
3;MAR ADENTRO;ESPAÑA;WARNER SOGEFILMS A.I.E.;19353426,59;2004;9,63;7,2;2,95
5;SPIDER-MAN 3;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;18289635,68;2007;7,65;5,9;2,93
3;SEÑOR DE LOS ANILLOS: EL RETORNO DEL REY, EL;NUEVA ZELANDA;AURUM PRODUCCIONES S.A.;20073898,33;2003;10,57;8,2;2,93
4;AVENTURAS DE TINTIN: EL SECRETO DEL UNICORNIO, LAS;ESTADOS UNIDOS;SONY PICTURES RELEASING DE ESPAÑA S.A.;17626674,23;2011;7,7;6,7;2,84
3;BUSCANDO A DORY;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA, S.L.;17523161,9;2016;7,27;6,8;2,79
4;AGORA;ESPAÑA;HISPANO FOX FILM S.A.;20405735,32;2009;8,76;6,9;2,7
4;GUERRA DE LOS MUNDOS, LA;ESTADOS UNIDOS;UNITED INTERNATIONAL PICTURES S.L.;16475936,63;2005;7,74;6,2;2,66
6;MONSTRUOS, S.A.;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;15937546,59;2002;8,81;7,5;2,66
5;INCREIBLES, LOS;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA,S.L.;16915519,18;2004;8,42;7,4;2,51
4;LIBRO DE LA SELVA (THE JUNGLE BOOK), EL;ESTADOS UNIDOS;THE WALT DISNEY COMPANY IBERIA, S.L.;16672073,69;2016;6,92;6,7;2,5
6;SHREK, FELICES PARA SIEMPRE;ESTADOS UNIDOS;PARAMOUNT SPAIN S.L.;16055045,96;2010;6,92;6;2,4
